<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
A..I..S..D.,20220823,23520.00,24190.00,23290.00,23750.00,7962164570,335369,273,D,23770.00,23870.00
A..I..S..D.,20220822,23670.00,24600.00,23020.00,23770.00,6450815470,269948,270,D,23670.00,24000.00
A..I..S..D.,20220821,24400.00,24400.00,23580.00,23670.00,14758330540,623574,474,D,24820.00,23580.00
A..I..S..D.,20220820,26100.00,26100.00,23920.00,24820.00,22587805660,909901,672,D,25160.00,24200.00
A..I..S..D.,20220817,25200.00,25200.00,24830.00,25160.00,23403829690,930027,351,D,24000.00,25200.00
A..I..S..D.,20220816,23100.00,24310.00,22930.00,24000.00,16547646240,689619,360,D,23160.00,24310.00
A..I..S..D.,20220815,23000.00,23600.00,22900.00,23160.00,10772029630,463714,362,D,22990.00,22910.00
A..I..S..D.,20220814,23390.00,23390.00,22650.00,22990.00,5929472690,259597,232,D,23080.00,22800.00
A..I..S..D.,20220813,22680.00,23510.00,22640.00,23080.00,9228357030,398278,369,D,22940.00,23000.00
A..I..S..D.,20220810,23500.00,23590.00,22690.00,22940.00,13281731060,580792,496,D,23880.00,22700.00
A..I..S..D.,20220809,23840.00,24600.00,23140.00,23880.00,11261377830,471472,372,D,23870.00,23140.00
A..I..S..D.,20220806,23500.00,24350.00,23200.00,23870.00,12820725800,537403,368,D,23920.00,23720.00
A..I..S..D.,20220803,24390.00,24390.00,23250.00,23920.00,9853289900,413523,324,D,24160.00,23850.00
A..I..S..D.,20220802,24640.00,25590.00,23600.00,24160.00,11223330960,466737,417,D,24630.00,23650.00
A..I..S..D.,20220801,24600.00,25300.00,24600.00,24630.00,30037446070,1219370,475,D,25890.00,24600.00
A..I..S..D.,20220719,25600.00,27400.00,25330.00,25970.00,29607959680,1140250,818,D,26660.00,25330.00
A..I..S..D.,20220717,27760.00,27760.00,26380.00,26660.00,30413610430,1140831,811,D,27760.00,26570.00
A..I..S..D.,20220716,28200.00,28880.00,27100.00,27760.00,26597190720,958241,717,D,28100.00,27650.00
A..I..S..D.,20220713,28510.00,29920.00,27090.00,28100.00,63783135140,2269610,1394,D,28510.00,28110.00
A..I..S..D.,20220712,29640.00,29640.00,28350.00,28510.00,48585876880,1704450,1037,D,29840.00,28750.00
A..I..S..D.,20220711,29640.00,31080.00,29640.00,29840.00,117873934960,3950334,1608,D,31190.00,30050.00
A..I..S..D.,20220709,32550.00,32550.00,31080.00,31190.00,61067028490,1957886,862,D,32710.00,31080.00
A..I..S..D.,20220706,33500.00,34260.00,32550.00,32710.00,25313006900,773758,562,D,34260.00,32550.00
A..I..S..D.,20220705,36270.00,36500.00,33760.00,34260.00,30536777970,891227,636,D,35530.00,33760.00
A..I..S..D.,20220704,34360.00,36570.00,34050.00,35530.00,23716481490,667540,440,D,34920.00,36270.00
A..I..S..D.,20220703,35490.00,35490.00,34120.00,34920.00,2915417270,84118,85,D,34990.00,34970.00
A..I..S..D.,20220702,34030.00,35380.00,34030.00,34990.00,8565350280,247446,175,D,35510.00,34480.00
A..I..S..D.,20220629,35910.00,35910.00,35110.00,35510.00,19155855620,539389,467,D,34270.00,35590.00
A..I..S..D.,20220628,33350.00,34400.00,32360.00,34270.00,15973344010,466157,139,D,32770.00,34400.00
A..I..S..D.,20220627,31650.00,33240.00,31650.00,32770.00,7470368480,229256,162,D,32960.00,32850.00
A..I..S..D.,20220626,33650.00,33890.00,31750.00,32960.00,7257268300,222983,215,D,33370.00,32300.00
A..I..S..D.,20220625,33100.00,34090.00,33000.00,33370.00,8905650390,267220,191,D,33430.00,33200.00
A..I..S..D.,20220622,32700.00,35070.00,32660.00,33430.00,10168066920,304716,299,D,33590.00,32970.00
A..I..S..D.,20220621,33370.00,33970.00,32800.00,33590.00,9684212510,290805,262,D,34260.00,32870.00
A..I..S..D.,20220620,33380.00,35410.00,33380.00,34260.00,7949811350,233746,278,D,34590.00,33760.00
A..I..S..D.,20220619,33500.00,35500.00,33500.00,34590.00,8557367800,247893,299,D,34690.00,33890.00
A..I..S..D.,20220618,36600.00,36600.00,34430.00,34690.00,18945471590,546080,404,D,36240.00,34430.00
A..I..S..D.,20220615,37020.00,37200.00,35610.00,36240.00,5919065430,164161,208,D,36350.00,35840.00
A..I..S..D.,20220614,36490.00,36740.00,35300.00,36350.00,18509159010,509164,406,D,35670.00,36590.00
A..I..S..D.,20220613,35570.00,36770.00,34700.00,35670.00,20135427660,564522,672,D,35030.00,36200.00
A..I..S..D.,20220612,34250.00,35430.00,33790.00,35030.00,8643761210,249341,274,D,35530.00,34980.00
A..I..S..D.,20220611,36500.00,36500.00,34020.00,35530.00,14284764200,401707,375,D,35130.00,35000.00
A..I..S..D.,20220608,33450.00,35220.00,33000.00,35130.00,23755467490,676158,429,D,33550.00,35220.00
A..I..S..D.,20220607,32200.00,34290.00,32200.00,33550.00,9701626130,289794,282,D,33710.00,33000.00
A..I..S..D.,20220606,35300.00,36000.00,33380.00,33710.00,21419040670,635355,471,D,35130.00,33380.00
A..I..S..D.,20220601,35490.00,35780.00,34120.00,35130.00,7191139360,206686,277,D,35490.00,35370.00
A..I..S..D.,20220531,36000.00,36670.00,35000.00,35490.00,7481349130,208268,196,D,35040.00,35700.00
A..I..S..D.,20220530,36000.00,36030.00,34110.00,35040.00,10841161080,310104,372,D,35280.00,35000.00
A..I..S..D.,20220529,35850.00,36970.00,34490.00,35280.00,12269013060,348649,330,D,35840.00,36210.00
A..I..S..D.,20220528,36050.00,37060.00,35140.00,35840.00,16135078220,450167,468,D,36960.00,35400.00
A..I..S..D.,20220525,37990.00,37990.00,36010.00,36960.00,19577435550,529703,468,D,37630.00,37060.00
A..I..S..D.,20220524,38240.00,38240.00,36730.00,37630.00,17381999990,461898,419,D,36420.00,37330.00
A..I..S..D.,20220523,36380.00,39600.00,35880.00,36420.00,53057701400,1456709,730,D,37760.00,36900.00
A..I..S..D.,20220522,37660.00,38500.00,37020.00,37760.00,19744610340,522870,496,D,38480.00,37150.00
A..I..S..D.,20220521,38000.00,40500.00,37600.00,38480.00,29789870550,774242,719,D,39500.00,37660.00
A..I..S..D.,20220518,40090.00,40970.00,39300.00,39500.00,36963134030,935867,764,D,41360.00,39300.00
A..I..S..D.,20220517,42800.00,42990.00,40000.00,41360.00,72746813910,1759006,1776,D,41180.00,40010.00
A..I..S..D.,20220516,41200.00,41260.00,40100.00,41180.00,144338591970,3504744,1981,D,39300.00,41260.00
A..I..S..D.,20220515,38490.00,40340.00,37010.00,39300.00,85990212550,2187938,973,D,38420.00,40340.00
A..I..S..D.,20220514,39000.00,39220.00,38000.00,38420.00,27815175210,723888,655,D,38460.00,38420.00
A..I..S..D.,20220511,37870.00,39300.00,37000.00,38460.00,40945359470,1064499,682,D,38210.00,37840.00
A..I..S..D.,20220510,38000.00,38900.00,37030.00,38210.00,18592891310,486564,473,D,38490.00,37870.00
A..I..S..D.,20220509,38430.00,39000.00,37160.00,38490.00,32106685460,834215,675,D,37560.00,37600.00
A..I..S..D.,20220508,37610.00,38690.00,36290.00,37560.00,39891096260,1061966,1071,D,38190.00,38150.00
A..I..S..D.,20220507,38010.00,39290.00,37500.00,38190.00,27450412680,718875,620,D,37940.00,37610.00
