<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mellat.Leasing,20220823,3600.00,3622.00,3524.00,3608.00,3333195782,933221,86,D,3619.00,3597.00
Mellat.Leasing,20220822,3520.00,3640.00,3520.00,3619.00,4203528834,1174391,133,D,3636.00,3622.00
Mellat.Leasing,20220821,3501.00,3590.00,3480.00,3636.00,3222781552,915121,150,D,3670.00,3510.00
Mellat.Leasing,20220820,3603.00,3680.00,3511.00,3670.00,4191228790,1180229,155,D,3719.00,3524.00
Mellat.Leasing,20220817,3749.00,3749.00,3615.00,3719.00,5401777870,1482935,112,D,3766.00,3615.00
Mellat.Leasing,20220816,3612.00,3801.00,3612.00,3766.00,2645332266,704018,106,D,3768.00,3700.00
Mellat.Leasing,20220815,3650.00,3769.00,3585.00,3768.00,4234889800,1148939,146,D,3802.00,3740.00
Mellat.Leasing,20220814,3731.00,3840.00,3660.00,3802.00,3912074839,1059762,144,D,3843.00,3668.00
Mellat.Leasing,20220813,3852.00,3917.00,3746.00,3843.00,4422991130,1170566,184,D,3871.00,3760.00
Mellat.Leasing,20220810,3900.00,3900.00,3730.00,3871.00,1108575446,290739,56,D,3876.00,3810.00
Mellat.Leasing,20220809,3825.00,3930.00,3736.00,3876.00,9185006392,2403726,222,D,3973.00,3927.00
Mellat.Leasing,20220806,3950.00,4027.00,3850.00,3973.00,4736813717,1204955,596,D,3993.00,3900.00
Mellat.Leasing,20220803,4080.00,4084.00,3870.00,3993.00,8465859813,2170269,169,D,4116.00,3905.00
Mellat.Leasing,20220802,4126.00,4126.00,3950.00,4116.00,3519050383,884609,92,D,4158.00,4040.00
Mellat.Leasing,20220801,4199.00,4290.00,4027.00,4158.00,9337966377,2291611,157,D,4283.00,4138.00
Mellat.Leasing,20220731,4184.00,4390.00,4000.00,4283.00,19378618814,4524278,161,D,4150.00,4110.00
Mellat.Leasing,20220730,4050.00,4174.00,4031.00,4150.00,19138523632,4612125,224,D,3938.00,4096.00
Mellat.Leasing,20220727,3750.00,3998.00,3750.00,3938.00,4656799916,1192855,105,D,3954.00,3920.00
Mellat.Leasing,20220726,3762.00,4000.00,3762.00,3954.00,1832273140,476654,66,D,3971.00,3821.00
Mellat.Leasing,20220725,3989.00,3989.00,3766.00,3971.00,2254639316,594559,53,D,4006.00,3810.00
Mellat.Leasing,20220724,4130.00,4144.00,3865.00,4006.00,12005423023,3013153,107,D,4111.00,3865.00
Mellat.Leasing,20220723,4238.00,4238.00,3929.00,4111.00,1447907335,354070,77,D,4113.00,4100.00
Mellat.Leasing,20220713,3851.00,4200.00,3851.00,4113.00,12701505348,3080048,237,D,4052.00,4146.00
Mellat.Leasing,20220712,4099.00,4099.00,3943.00,4052.00,4300032469,1078762,121,D,4080.00,3960.00
Mellat.Leasing,20220711,3900.00,4117.00,3863.00,4080.00,8623620378,2124124,222,D,4109.00,4110.00
Mellat.Leasing,20220709,3950.00,4100.00,3930.00,4109.00,1594786867,400484,81,D,4125.00,4000.00
Mellat.Leasing,20220706,4070.00,4130.00,3960.00,4125.00,2525720277,627009,84,D,4144.00,4010.00
Mellat.Leasing,20220705,4178.00,4250.00,4040.00,4144.00,6622466974,1601870,612,D,4151.00,4175.00
Mellat.Leasing,20220704,4079.00,4202.00,3750.00,4151.00,24992209139,6021396,354,D,3965.00,4202.00
Mellat.Leasing,20220703,3945.00,3975.00,3850.00,3965.00,1708770710,437239,88,D,3972.00,3974.00
Mellat.Leasing,20220702,3931.00,4127.00,3901.00,3972.00,6638887737,1649778,235,D,3932.00,4055.00
Mellat.Leasing,20220629,3742.00,4040.00,3742.00,3932.00,2086223028,534512,130,D,3937.00,4040.00
Mellat.Leasing,20220628,3875.00,4090.00,3820.00,3937.00,3224599600,814021,132,D,3930.00,3933.00
Mellat.Leasing,20220627,3901.00,4170.00,3825.00,3930.00,15188977718,3864832,726,D,4055.00,3905.00
Mellat.Leasing,20220626,4200.00,4200.00,3902.00,4055.00,3942127290,995823,159,D,4090.00,3990.00
Mellat.Leasing,20220625,4219.00,4219.00,4090.00,4090.00,9779903810,2353610,251,D,3981.00,4094.00
Mellat.Leasing,20220622,3898.00,4131.00,3785.00,3981.00,27559054686,6923085,913,D,3898.00,4131.00
Mellat.Leasing,20220621,3909.00,3910.00,3782.00,3898.00,2571689960,667323,130,D,3908.00,3900.00
Mellat.Leasing,20220620,3976.00,3976.00,3827.00,3908.00,6713483258,1716152,202,D,3905.00,3902.00
Mellat.Leasing,20220619,3851.00,3989.00,3826.00,3905.00,7467516374,1930592,338,D,3944.00,3847.00
Mellat.Leasing,20220618,3858.00,4008.00,3858.00,3944.00,7195274315,1837250,312,D,3971.00,3884.00
Mellat.Leasing,20220615,3802.00,4047.00,3802.00,3971.00,9127161455,2303342,233,D,3985.00,3921.00
Mellat.Leasing,20220614,4279.00,4279.00,3880.00,3985.00,15550323563,3902647,404,D,4045.00,3930.00
Mellat.Leasing,20220613,3926.00,4119.00,3900.00,4045.00,14650679131,3621113,277,D,3987.00,4106.00
Mellat.Leasing,20220612,3895.00,4115.00,3895.00,3987.00,11889809148,2996046,201,D,4070.00,3906.00
Mellat.Leasing,20220611,3886.00,4010.00,3870.00,4070.00,3077277998,783811,164,D,4110.00,3870.00
Mellat.Leasing,20220608,3935.00,4130.00,3935.00,4110.00,3828152530,952241,136,D,4143.00,3972.00
Mellat.Leasing,20220607,4190.00,4190.00,3933.00,4143.00,3806717592,941454,146,D,4180.00,4055.00
Mellat.Leasing,20220606,4143.00,4200.00,4026.00,4180.00,6242636483,1541494,147,D,4282.00,4030.00
Mellat.Leasing,20220601,4400.00,4400.00,4192.00,4282.00,12446725086,2929013,773,D,4417.00,4192.00
Mellat.Leasing,20220531,4530.00,4540.00,4351.00,4417.00,13987353673,3170308,192,D,4452.00,4460.00
Mellat.Leasing,20220530,4660.00,4660.00,4195.00,4452.00,17487088299,3928195,318,D,4416.00,4410.00
Mellat.Leasing,20220529,4237.00,4598.00,4151.00,4416.00,25139746728,5692335,525,D,4338.00,4500.00
Mellat.Leasing,20220528,4365.00,4368.00,4200.00,4338.00,24740943578,5703862,434,D,4121.00,4367.00
Mellat.Leasing,20220525,4058.00,4188.00,4058.00,4121.00,12657557175,3034745,262,D,3951.00,4188.00
Mellat.Leasing,20220524,3910.00,4058.00,3850.00,3951.00,17889835054,4527608,317,D,3829.00,4058.00
Mellat.Leasing,20220523,3700.00,3930.00,3700.00,3829.00,13504358494,3529224,305,D,3848.00,3901.00
Mellat.Leasing,20220522,4250.00,4250.00,3798.00,3848.00,48823111946,12688368,762,D,4040.00,3802.00
Mellat.Leasing,20220521,4047.00,4047.00,3935.00,4040.00,47166751962,11674597,513,D,3818.00,4047.00
Mellat.Leasing,20220518,3818.00,3818.00,3818.00,3818.00,20664978452,5412514,124,D,3602.00,3818.00
Mellat.Leasing,20220517,3600.00,3650.00,3600.00,3602.00,13356263320,3663455,129,D,3444.00,3650.00
Mellat.Leasing,20220516,3200.00,3450.00,3200.00,3444.00,18917214391,5492574,174,D,3255.00,3450.00
Mellat.Leasing,20220515,3180.00,3299.00,3094.00,3255.00,12935537251,3964817,260,D,3211.00,3243.00
Mellat.Leasing,20220514,3160.00,3321.00,3127.00,3211.00,7387157404,2296146,197,D,3205.00,3200.00
Mellat.Leasing,20220511,3190.00,3288.00,3090.00,3205.00,4339289632,1354297,215,D,3205.00,3254.00
Mellat.Leasing,20220510,3285.00,3300.00,3151.00,3205.00,4922575367,1519293,193,D,3189.00,3223.00
Mellat.Leasing,20220509,3250.00,3256.00,3101.00,3189.00,16870974957,5290994,355,D,3101.00,3219.00
Mellat.Leasing,20220508,2886.00,3180.00,2886.00,3101.00,15072078049,4858310,327,D,3000.00,3180.00
Mellat.Leasing,20220507,3100.00,3100.00,2927.00,3000.00,10891567997,3656068,294,D,3060.00,2968.00
Mellat.Leasing,20220502,3120.00,3179.00,3020.00,3060.00,5901625104,1934714,160,D,3067.00,3089.00
Mellat.Leasing,20220501,3119.00,3120.00,3002.00,3067.00,7221315197,2367167,165,D,3082.00,3066.00
Mellat.Leasing,20220430,3000.00,3209.00,2980.00,3082.00,6614110531,2170263,470,D,3110.00,3060.00
Mellat.Leasing,20220427,3120.00,3200.00,3019.00,3110.00,7894054594,2567771,259,D,3147.00,3110.00
Mellat.Leasing,20220426,3103.00,3288.00,3103.00,3147.00,5530269714,1709610,212,D,3103.00,3156.00
Mellat.Leasing,20220425,3237.00,3237.00,2989.00,3103.00,5975035987,1874920,208,D,3054.00,3207.00
Mellat.Leasing,20220424,2990.00,3137.00,2801.00,3054.00,13869703295,4524393,292,D,2960.00,3137.00
Mellat.Leasing,20220420,2900.00,2982.00,2900.00,2960.00,14897514770,5004422,297,D,2814.00,2982.00
Mellat.Leasing,20220419,2777.00,2872.00,2656.00,2814.00,12593874170,4433255,328,D,2710.00,2872.00
Mellat.Leasing,20220418,2660.00,2789.00,2660.00,2710.00,11225219232,4136837,231,D,2701.00,2703.00
Mellat.Leasing,20220417,2593.00,2755.00,2593.00,2701.00,6252431969,2328871,148,D,2712.00,2674.00
Mellat.Leasing,20220416,2632.00,2800.00,2632.00,2712.00,14045986391,5176089,278,D,2694.00,2655.00
Mellat.Leasing,20220413,2599.00,2800.00,2599.00,2694.00,3549748797,1310657,152,D,2689.00,2660.00
Mellat.Leasing,20220412,2650.00,2735.00,2570.00,2689.00,10867275978,4045606,163,D,2698.00,2700.00
Mellat.Leasing,20220411,2662.00,2800.00,2628.00,2698.00,21805299431,8082945,468,D,2766.00,2707.00
Mellat.Leasing,20220410,2621.00,2862.00,2621.00,2766.00,18572430085,6714786,397,D,2726.00,2737.00
Mellat.Leasing,20220409,2670.00,2833.00,2612.00,2726.00,13677165440,5012119,325,D,2699.00,2669.00
Mellat.Leasing,20220406,2787.00,2787.00,2690.00,2699.00,6529924979,2359321,225,D,2655.00,2787.00
Mellat.Leasing,20220405,2710.00,2715.00,2602.00,2655.00,9370444468,3459903,150,D,2586.00,2715.00
Mellat.Leasing,20220404,2515.00,2632.00,2401.00,2586.00,11525645009,4405558,253,D,2507.00,2632.00
Mellat.Leasing,20220403,2420.00,2580.00,2420.00,2507.00,6480571953,2514146,171,D,2458.00,2580.00
Mellat.Leasing,20220330,2323.00,2487.00,2322.00,2458.00,14925194966,6059096,226,D,2369.00,2487.00
Mellat.Leasing,20220329,2477.00,2477.00,2300.00,2369.00,5086338095,2143954,109,D,2368.00,2356.00
Mellat.Leasing,20220328,2392.00,2448.00,2392.00,2368.00,2005869691,830307,77,D,2361.00,2431.00
Mellat.Leasing,20220327,2458.00,2458.00,2353.00,2361.00,2558840013,1064581,87,D,2353.00,2410.00
Mellat.Leasing,20220326,2465.00,2465.00,2252.00,2353.00,2643652086,1112980,68,D,2348.00,2400.00
Mellat.Leasing,20220319,2344.00,2442.00,2344.00,2348.00,2995638654,1228138,48,D,2326.00,2442.00
Mellat.Leasing,20220316,2380.00,2403.00,2361.00,2326.00,5359816433,2235377,143,D,2289.00,2403.00
Mellat.Leasing,20220315,2373.00,2373.00,2279.00,2289.00,3521548638,1504803,118,D,2274.00,2370.00
Mellat.Leasing,20220314,2300.00,2360.00,2245.00,2274.00,4679831703,2031947,118,D,2261.00,2360.00
Mellat.Leasing,20220313,2300.00,2311.00,2222.00,2261.00,3065078712,1350391,126,D,2259.00,2300.00
Mellat.Leasing,20220312,2328.00,2328.00,2222.00,2259.00,4031932130,1774975,115,D,2254.00,2300.00
Mellat.Leasing,20220309,2280.00,2310.00,2225.00,2254.00,2948658429,1290522,82,D,2247.00,2310.00
Mellat.Leasing,20220308,2204.00,2300.00,2171.00,2247.00,6341695827,2812574,133,D,2242.00,2300.00
Mellat.Leasing,20220307,2201.00,2342.00,2190.00,2242.00,10754970207,4787661,240,D,2231.00,2199.00
Mellat.Leasing,20220306,2279.00,2310.00,2190.00,2231.00,8278607984,3667696,201,D,2200.00,2221.00
Mellat.Leasing,20220305,2201.00,2247.00,2150.00,2200.00,12095791419,5495704,91,D,2195.00,2171.00
Mellat.Leasing,20220302,2190.00,2290.00,2169.00,2195.00,2993773637,1355406,93,D,2192.00,2190.00
Mellat.Leasing,20220228,2250.00,2269.00,2160.00,2192.00,2117802509,952528,94,D,2187.00,2208.00
Mellat.Leasing,20220227,2100.00,2218.00,2100.00,2187.00,13121532207,5973614,265,D,2113.00,2218.00
Mellat.Leasing,20220226,2120.00,2178.00,2103.00,2113.00,13897640579,6586201,212,D,2213.00,2137.00
Mellat.Leasing,20220223,2153.00,2224.00,2119.00,2213.00,3268241397,1514316,108,D,2229.00,2180.00
Mellat.Leasing,20220222,2221.00,2270.00,2152.00,2229.00,1121297052,508487,77,D,2231.00,2185.00
Mellat.Leasing,20220221,2233.00,2233.00,2177.00,2231.00,4838855405,2207762,145,D,2251.00,2177.00
Mellat.Leasing,20220220,2265.00,2265.00,2170.00,2251.00,1239117456,559779,55,D,2254.00,2230.00
Mellat.Leasing,20220219,2328.00,2328.00,2181.00,2254.00,747435478,335641,62,D,2255.00,2200.00
Mellat.Leasing,20220216,2189.00,2320.00,2189.00,2255.00,1328968682,590379,57,D,2255.00,2251.00
Mellat.Leasing,20220214,2205.00,2300.00,2204.00,2255.00,5607762191,2463178,115,D,2243.00,2280.00
Mellat.Leasing,20220213,2166.00,2268.00,2145.00,2243.00,1831592202,827576,103,D,2247.00,2266.00
Mellat.Leasing,20220212,2149.00,2319.00,2149.00,2247.00,4202097100,1867062,113,D,2245.00,2279.00
Mellat.Leasing,20220209,2286.00,2300.00,2183.00,2245.00,8338027854,3685878,227,D,2220.00,2300.00
Mellat.Leasing,20220208,2237.00,2287.00,2138.00,2220.00,7358687897,3353296,229,D,2250.00,2287.00
Mellat.Leasing,20220207,2187.00,2277.00,2187.00,2250.00,6237141887,2851408,80,D,2302.00,2237.00
Mellat.Leasing,20220206,2311.00,2311.00,2226.00,2302.00,4977313705,2233216,106,D,2343.00,2226.00
Mellat.Leasing,20220205,2495.00,2495.00,2275.00,2343.00,14415976564,6155105,356,D,2394.00,2294.00
Mellat.Leasing,20220202,2440.00,2500.00,2317.00,2394.00,17466024266,7296732,335,D,2438.00,2450.00
Mellat.Leasing,20220201,2500.00,2509.00,2433.00,2438.00,4150627131,1698996,141,D,2436.00,2463.00
Mellat.Leasing,20220131,2420.00,2499.00,2314.00,2436.00,14566569206,5977019,288,D,2419.00,2478.00
Mellat.Leasing,20220130,2497.00,2499.00,2361.00,2419.00,7374422711,3047527,197,D,2418.00,2419.00
Mellat.Leasing,20220129,2362.00,2480.00,2362.00,2418.00,12843462517,5286655,306,D,2362.00,2480.00
Mellat.Leasing,20220126,2362.00,2470.00,2321.00,2362.00,3179412818,1328886,150,D,2354.00,2370.00
Mellat.Leasing,20220125,2260.00,2440.00,2260.00,2354.00,17593568379,7473564,317,D,2378.00,2395.00
Mellat.Leasing,20220124,2269.00,2269.00,2269.00,2378.00,1216991764,536356,19,D,2388.00,2269.00
Mellat.Leasing,20220123,2286.00,2358.00,2285.00,2388.00,2016948841,882566,71,D,2405.00,2285.00
Mellat.Leasing,20220122,2407.00,2488.00,2313.00,2405.00,2528306905,1077132,126,D,2417.00,2320.00
Mellat.Leasing,20220119,2418.00,2474.00,2415.00,2417.00,16567093143,6855363,359,D,2542.00,2421.00
Mellat.Leasing,20220118,2505.00,2559.00,2473.00,2542.00,6199030718,2504813,134,D,2603.00,2473.00
Mellat.Leasing,20220117,2630.00,2780.00,2546.00,2603.00,17264567328,6631340,375,D,2679.00,2546.00
Mellat.Leasing,20220116,2623.00,2700.00,2600.00,2679.00,6227927693,2385796,185,D,2736.00,2600.00
Mellat.Leasing,20220115,2848.00,2849.00,2728.00,2736.00,14651804913,5355810,410,D,2871.00,2728.00
Mellat.Leasing,20220112,2910.00,2950.00,2869.00,2871.00,67817557591,23618321,709,D,3019.00,2869.00
Mellat.Leasing,20220111,3022.00,3140.00,2924.00,3019.00,9008891476,3018337,289,D,3077.00,2929.00
Mellat.Leasing,20220110,3155.00,3157.00,3000.00,3077.00,13202663317,4299094,387,D,3132.00,3130.00
Mellat.Leasing,20220109,2951.00,3203.00,2951.00,3132.00,15731803339,5022659,406,D,3051.00,3111.00
Mellat.Leasing,20220108,3006.00,3194.00,2989.00,3051.00,12493160265,4114816,466,D,3146.00,2989.00
Mellat.Leasing,20220105,3146.00,3146.00,3100.00,3146.00,17855020189,5676248,380,D,2997.00,3146.00
Mellat.Leasing,20220104,3000.00,3132.00,2890.00,2997.00,14969876485,4994979,489,D,3042.00,3100.00
Mellat.Leasing,20220103,3100.00,3158.00,2930.00,3042.00,10131526117,3343999,435,D,3076.00,3000.00
Mellat.Leasing,20220102,3180.00,3208.00,3062.00,3076.00,26038584485,8466197,321,D,3223.00,3062.00
Mellat.Leasing,20220101,3287.00,3319.00,3165.00,3223.00,12613277939,3925701,322,D,3284.00,3167.00
Mellat.Leasing,20211229,3367.00,3367.00,3223.00,3284.00,19506337193,5940115,336,D,3254.00,3280.00
Mellat.Leasing,20211228,3210.00,3334.00,3210.00,3254.00,9253778368,2821927,239,D,3213.00,3271.00
Mellat.Leasing,20211227,3030.00,3248.00,3030.00,3213.00,23173570145,7211791,394,D,3094.00,3248.00
Mellat.Leasing,20211226,3080.00,3200.00,3074.00,3094.00,27121758289,8764573,402,D,3235.00,3127.00
Mellat.Leasing,20211225,3400.00,3400.00,3115.00,3235.00,20931879404,6469529,504,D,3267.00,3199.00
Mellat.Leasing,20211222,3240.00,3270.00,3191.00,3267.00,15069684938,4613017,362,D,3115.00,3270.00
Mellat.Leasing,20211221,3000.00,3249.00,3000.00,3115.00,16232236828,5210427,604,D,3114.00,3235.00
Mellat.Leasing,20211220,3200.00,3250.00,3105.00,3114.00,33051508712,10614826,716,D,3268.00,3109.00
Mellat.Leasing,20211219,3330.00,3449.00,3218.00,3268.00,64406564323,19708992,1307,D,3387.00,3218.00
Mellat.Leasing,20211218,3386.00,3471.00,3386.00,3387.00,83194949416,24562091,923,D,3564.00,3386.00
Mellat.Leasing,20211215,3403.00,3403.00,3403.00,3564.00,1306411700,383900,46,D,3582.00,3403.00
Mellat.Leasing,20211214,3464.00,3464.00,3464.00,3582.00,4731141592,1365803,32,D,3646.00,3464.00
Mellat.Leasing,20211213,3580.00,3580.00,3580.00,3646.00,8951414100,2500395,55,D,3768.00,3580.00
Mellat.Leasing,20211212,3679.00,3679.00,3679.00,3768.00,7635135391,2075329,32,D,3872.00,3679.00
Mellat.Leasing,20211211,3694.00,3694.00,3694.00,3872.00,1140315636,308694,49,D,3888.00,3694.00
Mellat.Leasing,20211208,3888.00,3888.00,3888.00,3888.00,13023773568,3349736,139,D,4092.00,3888.00
Mellat.Leasing,20211207,3912.00,3912.00,3912.00,4092.00,1571767272,401781,39,D,4117.00,3912.00
Mellat.Leasing,20211206,4290.00,4300.00,4084.00,4117.00,37169189454,9028165,452,D,4298.00,4084.00
Mellat.Leasing,20211205,4284.00,4544.00,4284.00,4298.00,255301076635,59395040,2048,D,4509.00,4290.00
Mellat.Leasing,20211204,4377.00,4377.00,4377.00,4509.00,6048278664,1381832,38,D,4607.00,4377.00
Mellat.Leasing,20211201,4472.00,4472.00,4472.00,4607.00,6521280584,1458247,41,D,4707.00,4472.00
Mellat.Leasing,20211130,4618.00,4618.00,4618.00,4707.00,10028702790,2171655,87,D,4861.00,4618.00
Mellat.Leasing,20211129,4714.00,4949.00,4656.00,4861.00,68598895393,14111348,901,D,4714.00,4863.00
Mellat.Leasing,20211128,4514.00,4739.00,4514.00,4714.00,78043233589,16556793,905,D,4514.00,4739.00
Mellat.Leasing,20211127,4250.00,4586.00,4250.00,4514.00,69870041275,15479204,844,D,4370.00,4554.00
Mellat.Leasing,20211124,4420.00,4440.00,4100.00,4370.00,120025919200,27467545,1161,D,4240.00,4250.00
Mellat.Leasing,20211123,4250.00,4270.00,4140.00,4240.00,86784989680,20475779,983,D,4070.00,4210.00
Mellat.Leasing,20211122,4260.00,4390.00,4050.00,4070.00,56063520310,13764236,1073,D,4260.00,4140.00
Mellat.Leasing,20211121,4120.00,4320.00,4070.00,4260.00,35526590830,8335281,468,D,4050.00,4190.00
Mellat.Leasing,20211106,6900.00,6960.00,6380.00,6710.00,142162541810,21192466,2004,D,6710.00,6460.00
Mellat.Leasing,20211103,6650.00,6900.00,6650.00,6710.00,152246876620,22690780,1686,D,6990.00,6700.00
Mellat.Leasing,20211102,6980.00,7500.00,6980.00,6990.00,19679322700,2814228,152,D,7340.00,6980.00
Mellat.Leasing,20211101,7230.00,7880.00,7200.00,7340.00,54488311400,7420296,707,D,7570.00,7200.00
Mellat.Leasing,20211031,7570.00,7570.00,7570.00,7570.00,16025690000,2117000,53,D,7960.00,7570.00
Mellat.Leasing,20211030,7980.00,8350.00,7590.00,7960.00,84838795790,10652284,823,D,7980.00,7590.00
Mellat.Leasing,20211027,7990.00,8010.00,7700.00,7980.00,133691185670,16744428,1275,D,7630.00,7990.00
Mellat.Leasing,20211026,6940.00,7660.00,6940.00,7630.00,197269114890,25858235,1205,D,7300.00,7660.00
Mellat.Leasing,20211025,7300.00,7300.00,7300.00,7300.00,20015943000,2741910,139,D,7680.00,7300.00
Mellat.Leasing,20211023,7740.00,8100.00,7360.00,7680.00,64048989560,8341444,664,D,7740.00,7360.00
Mellat.Leasing,20211020,7410.00,7780.00,7410.00,7740.00,80278451740,10369587,867,D,7410.00,7770.00
Mellat.Leasing,20211019,7210.00,7460.00,7110.00,7410.00,98583619340,13305700,984,D,7110.00,7460.00
Mellat.Leasing,20211018,6860.00,7140.00,6860.00,7110.00,104406129250,14684265,1091,D,6800.00,7140.00
Mellat.Leasing,20211017,6500.00,6810.00,6500.00,6800.00,72431804000,10651541,830,D,6490.00,6810.00
Mellat.Leasing,20211016,6190.00,6540.00,6070.00,6490.00,30843920460,4751617,433,D,6230.00,6540.00
Mellat.Leasing,20211013,6250.00,6540.00,5940.00,6230.00,25663765270,4119248,447,D,6250.00,6100.00
Mellat.Leasing,20211012,6400.00,6400.00,6250.00,6250.00,15841084840,2533506,131,D,6570.00,6250.00
Mellat.Leasing,20211011,6530.00,6900.00,6400.00,6570.00,34842316420,5300709,536,D,6730.00,6400.00
Mellat.Leasing,20211010,6510.00,6850.00,6510.00,6730.00,30698574160,4564272,597,D,6710.00,6730.00
Mellat.Leasing,20211009,6710.00,6890.00,6400.00,6710.00,74796339360,11144652,1093,D,6570.00,6760.00
Mellat.Leasing,20211006,6600.00,6600.00,6450.00,6570.00,113671542790,17296918,1082,D,6290.00,6600.00
Mellat.Leasing,20211004,6210.00,6300.00,6190.00,6290.00,53887082440,8564823,618,D,6000.00,6300.00
Mellat.Leasing,20211003,5950.00,6090.00,5610.00,6000.00,40393707660,6730782,559,D,5800.00,6090.00
