<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Minoo.Co.,20220823,6100.00,6460.00,6080.00,6430.00,111093723240,17273095,1078,D,6100.00,6460.00
Minoo.Co.,20220822,6050.00,6180.00,6000.00,6100.00,39582705340,6483874,776,D,5950.00,6150.00
Minoo.Co.,20220821,5890.00,6090.00,5830.00,5950.00,17050301170,2867213,498,D,5900.00,5980.00
Minoo.Co.,20220820,5820.00,6020.00,5800.00,5900.00,18139859310,3072917,486,D,5930.00,5900.00
Minoo.Co.,20220817,5780.00,6090.00,5780.00,5930.00,26644921890,4495763,710,D,5820.00,5920.00
Minoo.Co.,20220816,6020.00,6050.00,5710.00,5820.00,57875218370,9946102,1101,D,5990.00,5780.00
Minoo.Co.,20220815,6110.00,6120.00,5900.00,5990.00,38605056100,6441861,843,D,6110.00,5900.00
Minoo.Co.,20220814,6280.00,6280.00,5960.00,6110.00,21722213470,3557338,602,D,6180.00,6070.00
Minoo.Co.,20220813,5970.00,6280.00,5960.00,6180.00,49072500710,7941629,1040,D,5950.00,6200.00
Minoo.Co.,20220810,5680.00,6090.00,5650.00,5950.00,37670645340,6334115,819,D,5780.00,5950.00
Minoo.Co.,20220809,5860.00,5910.00,5670.00,5780.00,29835330180,5165138,630,D,5880.00,5690.00
Minoo.Co.,20220806,5840.00,5980.00,5670.00,5880.00,45029809610,7661305,759,D,5800.00,5860.00
Minoo.Co.,20220803,5400.00,5810.00,5400.00,5800.00,123002854890,21189666,1085,D,5490.00,5810.00
Minoo.Co.,20220802,5480.00,5610.00,5400.00,5490.00,12929255220,2355583,269,D,5520.00,5550.00
Minoo.Co.,20220801,5440.00,5650.00,5440.00,5520.00,10024882390,1815939,262,D,5450.00,5480.00
Minoo.Co.,20220731,5530.00,5700.00,5410.00,5450.00,44082536990,8085081,717,D,5750.00,5470.00
Minoo.Co.,20220730,5990.00,6000.00,5620.00,5750.00,47076893740,8192699,879,D,5970.00,5640.00
Minoo.Co.,20220727,6080.00,6100.00,5830.00,5970.00,63852261750,10687370,1146,D,5970.00,5990.00
Minoo.Co.,20220726,5690.00,6020.00,5690.00,5970.00,132507086700,22183341,1716,D,5680.00,5980.00
Minoo.Co.,20220725,5600.00,5830.00,5530.00,5680.00,81763240920,14397698,1175,D,5640.00,5600.00
Minoo.Co.,20220724,5750.00,5790.00,5510.00,5640.00,114815272020,20372548,1621,D,5750.00,5530.00
Minoo.Co.,20220723,5750.00,5750.00,5750.00,5750.00,108663275750,18897961,379,D,5430.00,5750.00
Minoo.Co.,20220720,5430.00,5430.00,5430.00,5430.00,88582674240,16313568,304,D,5130.00,5430.00
Minoo.Co.,20220719,5000.00,5220.00,4990.00,5130.00,10672005930,2080866,327,D,5040.00,5150.00
Minoo.Co.,20220717,5020.00,5200.00,4960.00,5040.00,15854648920,3146135,417,D,5080.00,4990.00
Minoo.Co.,20220716,5050.00,5320.00,5020.00,5080.00,23957959420,4717385,520,D,5210.00,5090.00
Minoo.Co.,20220713,5130.00,5290.00,5100.00,5210.00,9111934590,1749636,284,D,5190.00,5170.00
