<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*HiWeb,20220823,3062.00,3132.00,3013.00,3093.00,348077357251,112531322,3940,D,3052.00,3120.00
S*HiWeb,20220822,3074.00,3098.00,3020.00,3052.00,611707135579,200454605,5756,D,3007.00,3071.00
S*HiWeb,20220821,2941.00,3070.00,2927.00,3007.00,548557805200,182456341,6309,D,2927.00,3067.00
S*HiWeb,20220820,2880.00,2990.00,2800.00,2927.00,551022847006,188267347,5724,D,2865.00,2951.00
S*HiWeb,20220817,2800.00,2899.00,2760.00,2865.00,746190790042,260408160,6935,D,2735.00,2898.00
S*HiWeb,20220816,2683.00,2743.00,2656.00,2735.00,405757374559,148348419,3947,D,2588.00,2743.00
S*HiWeb,20220815,2484.00,2630.00,2465.00,2588.00,390139449934,150763003,4854,D,2482.00,2627.00
S*HiWeb,20220814,2559.00,2559.00,2460.00,2482.00,99268962525,39988759,1540,D,2492.00,2485.00
S*HiWeb,20220813,2410.00,2530.00,2410.00,2492.00,380323697079,152644297,2678,D,2422.00,2514.00
S*HiWeb,20220810,2472.00,2499.00,2380.00,2422.00,118643934931,48987106,2287,D,2495.00,2419.00
S*HiWeb,20220809,2530.00,2548.00,2469.00,2495.00,97973922122,39260902,2462,D,2553.00,2470.00
S*HiWeb,20220806,2578.00,2620.00,2505.00,2553.00,590800412264,231448045,4661,D,2511.00,2513.00
S*HiWeb,20220803,2464.00,2580.00,2426.00,2511.00,1110448479899,442188220,5158,D,2437.00,2553.00
S*HiWeb,20220802,2459.00,2500.00,2370.00,2437.00,133564556362,54817259,2889,D,2422.00,2448.00
S*HiWeb,20220801,2430.00,2457.00,2400.00,2422.00,202620500712,83654793,2691,D,2580.00,2430.00
S*HiWeb,20220706,8810.00,8930.00,8700.00,8760.00,298559049010,34066993,4088,D,8850.00,8750.00
S*HiWeb,20220705,8990.00,8990.00,8800.00,8850.00,141945467130,16044155,2438,D,8950.00,8860.00
S*HiWeb,20220704,9080.00,9120.00,8860.00,8950.00,142677428130,15949802,2445,D,8990.00,8870.00
S*HiWeb,20220703,9010.00,9090.00,8900.00,8990.00,159056703050,17688872,2358,D,9060.00,8970.00
S*HiWeb,20220702,9390.00,9390.00,8950.00,9060.00,198005730090,21857317,2916,D,9140.00,8990.00
S*HiWeb,20220629,9180.00,9370.00,9060.00,9140.00,116924097350,12790510,1980,D,9200.00,9140.00
S*HiWeb,20220628,9140.00,9380.00,9050.00,9200.00,114184286600,12415455,2418,D,9050.00,9250.00
S*HiWeb,20220627,9090.00,9180.00,8980.00,9050.00,225939628840,24978429,2996,D,9180.00,9090.00
