<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Kharazmy.Invest,20220823,3884.00,4022.00,3870.00,3965.00,161776217008,40797517,2326,D,3883.00,4007.00
S*Kharazmy.Invest,20220822,3882.00,3990.00,3829.00,3883.00,124907297865,32165019,2942,D,3939.00,3840.00
S*Kharazmy.Invest,20220821,3980.00,4037.00,3896.00,3939.00,120441961944,30579393,2187,D,3993.00,3907.00
S*Kharazmy.Invest,20220820,4024.00,4026.00,3951.00,3993.00,130572220777,32699010,1854,D,4089.00,3960.00
S*Kharazmy.Invest,20220817,4130.00,4230.00,4030.00,4089.00,157955851751,38631883,2486,D,4153.00,4097.00
S*Kharazmy.Invest,20220816,4180.00,4283.00,4030.00,4153.00,200463734481,48264483,3259,D,4108.00,4060.00
S*Kharazmy.Invest,20220815,4050.00,4195.00,4001.00,4108.00,164891306570,40138638,2426,D,4062.00,4129.00
S*Kharazmy.Invest,20220814,4170.00,4170.00,4005.00,4062.00,147828106089,36391994,2553,D,4126.00,4034.00
S*Kharazmy.Invest,20220813,3971.00,4132.00,3971.00,4126.00,343486119859,83245120,2775,D,3899.00,4132.00
S*Kharazmy.Invest,20220810,3900.00,3977.00,3873.00,3899.00,88133352748,22603745,1487,D,3975.00,3931.00
S*Kharazmy.Invest,20220809,4029.00,4100.00,3875.00,3975.00,167522480038,42141338,3035,D,3992.00,3925.00
S*Kharazmy.Invest,20220806,3850.00,4008.00,3850.00,3992.00,365886539307,91654427,3790,D,3782.00,4008.00
S*Kharazmy.Invest,20220803,3740.00,3819.00,3740.00,3782.00,80269815584,21225156,1544,D,3726.00,3805.00
S*Kharazmy.Invest,20220802,3730.00,3760.00,3677.00,3726.00,68488545935,18382193,1267,D,3707.00,3756.00
S*Kharazmy.Invest,20220801,3700.00,3767.00,3670.00,3707.00,72476104848,19552541,1301,D,3675.00,3700.00
S*Kharazmy.Invest,20220731,3731.00,3790.00,3602.00,3675.00,99584273250,27100757,2265,D,3815.00,3711.00
S*Kharazmy.Invest,20220730,3900.00,3928.00,3733.00,3815.00,75299047759,19737421,2061,D,3871.00,3758.00
S*Kharazmy.Invest,20220727,3810.00,3900.00,3810.00,3871.00,61334592969,15843451,1515,D,3809.00,3855.00
S*Kharazmy.Invest,20220726,3782.00,3877.00,3782.00,3809.00,70759448646,18575338,1685,D,3808.00,3800.00
S*Kharazmy.Invest,20220725,3903.00,3980.00,3751.00,3808.00,131446320562,34520223,2878,D,3961.00,3782.00
S*Kharazmy.Invest,20220724,4079.00,4079.00,3902.00,3961.00,118126160490,29821677,2272,D,4080.00,3927.00
S*Kharazmy.Invest,20220723,4048.00,4180.00,4047.00,4080.00,134655525541,33003538,2557,D,3990.00,4049.00
