<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Metals.&.Min.,20220822,5080.00,5080.00,4920.00,5000.00,40028211910,8035257,474,D,5010.00,4920.00
S*Metals.&.Min.,20220821,5030.00,5050.00,4940.00,5010.00,87464205270,17502956,1148,D,5060.00,4990.00
S*Metals.&.Min.,20220820,5030.00,5110.00,5000.00,5060.00,69298393380,13747666,1000,D,5090.00,5000.00
S*Metals.&.Min.,20220817,5030.00,5100.00,5010.00,5090.00,47107541650,9344932,715,D,5120.00,5020.00
S*Metals.&.Min.,20220816,5060.00,5200.00,5010.00,5120.00,69111887540,13518421,812,D,5140.00,5020.00
S*Metals.&.Min.,20220815,4980.00,5210.00,4980.00,5140.00,117820942550,22919978,1027,D,5130.00,5130.00
S*Metals.&.Min.,20220814,5150.00,5250.00,5000.00,5130.00,67703713480,13198001,921,D,5130.00,5100.00
S*Metals.&.Min.,20220813,5080.00,5250.00,5010.00,5130.00,75523129520,14663293,896,D,5100.00,5160.00
S*Metals.&.Min.,20220810,5170.00,5170.00,4960.00,5100.00,49736202580,9798969,698,D,5120.00,5100.00
S*Metals.&.Min.,20220809,5040.00,5210.00,5040.00,5120.00,45718501320,8880938,697,D,5100.00,5090.00
S*Metals.&.Min.,20220806,5090.00,5280.00,5070.00,5100.00,68187865530,13195281,976,D,5007.00,5110.00
S*Metals.&.Min.,20220803,5000.00,5200.00,4970.00,5007.00,52045332014,10275037,797,D,4966.00,5049.00
S*Metals.&.Min.,20220802,4910.00,5100.00,4820.00,4966.00,100522959350,20122693,1301,D,4840.00,4997.00
S*Metals.&.Min.,20220801,4870.00,4960.00,4790.00,4840.00,49739715487,10196464,792,D,4813.00,4800.00
S*Metals.&.Min.,20220731,4710.00,4910.00,4700.00,4813.00,54414443578,11362982,776,D,4834.00,4900.00
S*Metals.&.Min.,20220730,4740.00,5000.00,4740.00,4834.00,42452729062,8733245,1007,D,4820.00,4790.00
S*Metals.&.Min.,20220727,4780.00,4900.00,4720.00,4820.00,69319105810,14406726,1234,D,4850.00,4810.00
S*Metals.&.Min.,20220726,4840.00,4940.00,4810.00,4850.00,64358019040,13259718,1053,D,4850.00,4890.00
S*Metals.&.Min.,20220725,4820.00,4990.00,4780.00,4850.00,99142531140,20496721,1705,D,5080.00,4880.00
S*Metals.&.Min.,20220724,5180.00,5290.00,5010.00,5080.00,190824888660,37546061,2376,D,5320.00,5010.00
S*Metals.&.Min.,20220723,5400.00,5600.00,5320.00,5320.00,739246472740,138907986,3674,D,5650.00,5320.00
S*Metals.&.Min.,20220711,5710.00,6050.00,5640.00,5820.00,572111889300,98312934,3025,D,5710.00,6050.00
S*Metals.&.Min.,20220709,5720.00,5730.00,5640.00,5710.00,210703892060,36927377,2097,D,5710.00,5700.00
S*Metals.&.Min.,20220706,5760.00,5760.00,5610.00,5710.00,169537646990,29678094,1047,D,5740.00,5650.00
S*Metals.&.Min.,20220705,5800.00,5800.00,5680.00,5740.00,118071457960,20564679,1094,D,5770.00,5730.00
S*Metals.&.Min.,20220704,5760.00,5830.00,5730.00,5770.00,138792367550,24059308,1163,D,5730.00,5780.00
S*Metals.&.Min.,20220703,5820.00,5820.00,5690.00,5730.00,152373323310,26589646,1192,D,5770.00,5750.00
S*Metals.&.Min.,20220702,5690.00,5800.00,5610.00,5770.00,79091723400,13740802,914,D,5800.00,5750.00
S*Metals.&.Min.,20220629,5770.00,5820.00,5600.00,5800.00,79890249870,13783944,791,D,5800.00,5800.00
S*Metals.&.Min.,20220628,5830.00,5850.00,5790.00,5800.00,47506236790,8186658,731,D,5790.00,5790.00
S*Metals.&.Min.,20220627,5660.00,5840.00,5660.00,5790.00,89320891030,15423944,954,D,5800.00,5830.00
S*Metals.&.Min.,20220626,5870.00,5910.00,5660.00,5800.00,174681383320,30106428,1318,D,5900.00,5720.00
S*Metals.&.Min.,20220625,5950.00,5950.00,5770.00,5900.00,86165902030,14662519,1217,D,5980.00,5790.00
S*Metals.&.Min.,20220622,5950.00,5990.00,5910.00,5980.00,52185721200,8744708,916,D,5990.00,5940.00
S*Metals.&.Min.,20220621,5990.00,6030.00,5930.00,5990.00,95684183660,15977679,1205,D,6010.00,5980.00
S*Metals.&.Min.,20220620,5920.00,6110.00,5920.00,6010.00,118293688890,19698170,1372,D,6000.00,6010.00
