<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Saman.Bank,20220823,3700.00,3797.00,3640.00,3772.00,229700223288,60899067,1736,D,3687.00,3797.00
S*Saman.Bank,20220822,3560.00,3695.00,3560.00,3687.00,254762064978,69091812,1824,D,3588.00,3677.00
S*Saman.Bank,20220821,3463.00,3597.00,3450.00,3588.00,240848038632,67131045,1602,D,3493.00,3597.00
S*Saman.Bank,20220820,3550.00,3570.00,3462.00,3493.00,140391952369,40197783,887,D,3564.00,3479.00
S*Saman.Bank,20220817,3580.00,3679.00,3488.00,3564.00,173249603772,48606093,1628,D,3593.00,3595.00
S*Saman.Bank,20220816,3619.00,3623.00,3480.00,3593.00,204089926709,56802189,1857,D,3518.00,3494.00
S*Saman.Bank,20220815,3470.00,3528.00,3425.00,3518.00,193659525147,55044149,1767,D,3426.00,3528.00
S*Saman.Bank,20220814,3427.00,3427.00,3388.00,3426.00,343973972774,100399759,2058,D,3328.00,3427.00
S*Saman.Bank,20220813,3327.00,3328.00,3310.00,3328.00,60321875548,18126096,351,D,3232.00,3328.00
S*Saman.Bank,20220810,3249.00,3265.00,3156.00,3232.00,66992302867,20725823,643,D,3210.00,3265.00
S*Saman.Bank,20220802,3200.00,3250.00,3192.00,3210.00,143791197214,44794476,909,D,3239.00,3223.00
S*Saman.Bank,20220801,3234.00,3254.00,3162.00,3239.00,187230944781,57802876,1508,D,3160.00,3236.00
S*Saman.Bank,20220731,3165.00,3196.00,3022.00,3160.00,426030746499,134837038,2674,D,3103.00,3196.00
S*Saman.Bank,20220730,3103.00,3103.00,3100.00,3103.00,151216278282,48732294,589,D,3013.00,3103.00
S*Saman.Bank,20220717,3078.00,3112.00,2970.00,3077.00,125741543561,40866785,785,D,3022.00,3112.00
S*Saman.Bank,20220716,3060.00,3100.00,3000.00,3022.00,139461711947,46142031,936,D,3048.00,3021.00
S*Saman.Bank,20220713,3053.00,3098.00,3015.00,3048.00,31058393634,10196098,495,D,3053.00,3057.00
S*Saman.Bank,20220712,3050.00,3100.00,2980.00,3053.00,126697272101,41492674,887,D,3063.00,3049.00
S*Saman.Bank,20220711,3090.00,3113.00,3062.00,3063.00,178016963364,58115562,1222,D,3156.00,3062.00
S*Saman.Bank,20220709,3130.00,3200.00,3120.00,3156.00,27254018349,8730614,299,D,3216.00,3120.00
S*Saman.Bank,20220706,3290.00,3298.00,3201.00,3216.00,94219322073,29294932,835,D,3300.00,3201.00
S*Saman.Bank,20220705,3302.00,3302.00,3110.00,3300.00,396912999710,120294525,2501,D,3206.00,3289.00
S*Saman.Bank,20220704,3206.00,3206.00,3135.00,3206.00,174950748706,54570613,682,D,3113.00,3206.00
S*Saman.Bank,20220703,3127.00,3178.00,3081.00,3113.00,41037054559,13190815,494,D,3161.00,3125.00
S*Saman.Bank,20220702,3270.00,3270.00,3130.00,3161.00,57921375268,18326478,665,D,3223.00,3130.00
S*Saman.Bank,20220629,3210.00,3223.00,3180.00,3223.00,103241187954,32037568,527,D,3130.00,3223.00
S*Saman.Bank,20220628,3130.00,3131.00,3060.00,3130.00,358841354391,114628627,1730,D,3040.00,3131.00
S*Saman.Bank,20220627,2971.00,3090.00,2970.00,3040.00,73956554054,24329710,879,D,3036.00,3084.00
S*Saman.Bank,20220626,3102.00,3151.00,3032.00,3036.00,154200990865,50789292,977,D,3125.00,3032.00
S*Saman.Bank,20220625,3061.00,3165.00,3061.00,3125.00,58037305198,18572432,877,D,3119.00,3100.00
S*Saman.Bank,20220622,3160.00,3210.00,3101.00,3119.00,109081508333,34975917,1056,D,3196.00,3101.00
S*Saman.Bank,20220621,3240.00,3241.00,3141.00,3196.00,211286261287,66101557,1207,D,3212.00,3212.00
S*Saman.Bank,20220620,3240.00,3279.00,3162.00,3212.00,79365820808,24709756,813,D,3209.00,3180.00
S*Saman.Bank,20220619,3210.00,3210.00,3152.00,3209.00,246565954867,76847429,1835,D,3117.00,3210.00
S*Saman.Bank,20220618,3120.00,3169.00,3115.00,3117.00,139696718520,44820008,1124,D,3211.00,3116.00
S*Saman.Bank,20220615,3219.00,3219.00,3135.00,3211.00,411962145407,128300729,2399,D,3126.00,3169.00
S*Saman.Bank,20220614,3030.00,3162.00,3000.00,3126.00,206244056547,65977127,1373,D,3070.00,3162.00
S*Saman.Bank,20220613,3015.00,3140.00,3015.00,3070.00,203768765890,66375296,1398,D,3056.00,3044.00
S*Saman.Bank,20220612,3092.00,3150.00,3037.00,3056.00,310251967264,101519351,2315,D,3130.00,3076.00
