<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Social.Sec.Inv,20220822,951.00,962.00,951.00,957.00,265119725352,277009654,5022,D,953.00,956.00
Social.Sec.Inv,20220821,956.00,966.00,950.00,953.00,350843465737,367971819,5788,D,956.00,950.00
Social.Sec.Inv,20220820,961.00,962.00,950.00,956.00,339794509261,355379040,6331,D,965.00,957.00
Social.Sec.Inv,20220817,973.00,977.00,961.00,965.00,309270031476,320642223,5566,D,973.00,965.00
Social.Sec.Inv,20220816,982.00,988.00,965.00,973.00,510672705540,524888241,7656,D,975.00,966.00
Social.Sec.Inv,20220815,965.00,989.00,956.00,975.00,357767154712,366965702,7326,D,967.00,976.00
Social.Sec.Inv,20220814,984.00,985.00,953.00,967.00,556040633570,574940896,9931,D,975.00,965.00
Social.Sec.Inv,20220813,940.00,978.00,939.00,975.00,1558339513995,1598694997,19518,D,932.00,978.00
Social.Sec.Inv,20220810,938.00,945.00,926.00,932.00,446427670924,478843788,5959,D,943.00,933.00
Social.Sec.Inv,20220809,946.00,951.00,938.00,943.00,270235037554,286635052,6049,D,948.00,940.00
Social.Sec.Inv,20220806,926.00,965.00,926.00,948.00,473645432776,499514650,9329,D,924.00,948.00
Social.Sec.Inv,20220803,922.00,935.00,919.00,924.00,269316927240,291561703,5543,D,921.00,927.00
Social.Sec.Inv,20220802,916.00,936.00,913.00,921.00,232455085238,252398895,5039,D,919.00,921.00
Social.Sec.Inv,20220801,927.00,927.00,915.00,919.00,221551080461,241134036,4687,D,912.00,916.00
Social.Sec.Inv,20220731,923.00,923.00,908.00,912.00,391569654268,429244621,7766,D,929.00,914.00
Social.Sec.Inv,20220730,928.00,942.00,919.00,929.00,300500715470,323308607,6728,D,922.00,921.00
Social.Sec.Inv,20220727,920.00,933.00,919.00,922.00,208433249964,225944497,5033,D,920.00,923.00
Social.Sec.Inv,20220726,917.00,927.00,917.00,920.00,337368496570,366673137,6263,D,919.00,920.00
Social.Sec.Inv,20220725,935.00,935.00,912.00,919.00,427226486106,464772100,8633,D,944.00,917.00
Social.Sec.Inv,20220724,967.00,967.00,933.00,944.00,350392248665,371177048,7588,D,955.00,934.00
Social.Sec.Inv,20220723,930.00,971.00,930.00,955.00,834177248887,873759363,15096,D,926.00,960.00
